Name,Teams,Matches,Runs,Bat Avg,Wickets,Bowl Avg
P Awana,KXI,33,5,2.50,39,26.38
A Badoni,LSG,13,161,20.13,2,5.50
S Badrinath,CSK,95,1441,30.66,,
J M Bairstow,"SUN, KXI",39,1291,35.86,,
S B Bangar,"DCH, KKR",12,49,7.00,4,54.75
A B Barath,KXI,3,42,21.00,,
Basil Thampi,"GUJ, SUN, MIN",25,32,32.00,22,38.45
A R Bawne,DDV,1,12,,,
J P Behrendorff,"MIN, RCB",5,,,5,33.00
R Bhatia,"DDV, KKR, RRO, RPS",95,342,11.40,71,28.46
B A  Bhatt,KXI,17,6,6.00,12,33.08
A A  Bilakhia,DCH,7,69,13.80,,
S T R Binny,"MIN, RRO, RCB",95,880,19.13,22,34.45
U A  Birla,PWI,2,7,7.00,,
R  Bishnoi,RCB,3,19,6.33,,
A C  Blizzard,MIN,7,120,17.14,,
D E Bollinger,CSK,27,21,21.00,37,18.73
R S Bopara,"KXI, SUN",24,531,29.50,11,26.55
J Botha,"RRO, DDV, KKR",34,409,20.45,25,32.00
T A Boult,"SUN, KKR, DDV, MIN, RRO",78,53,10.60,92,26.90
C R Brathwaite,"DDV, SUN, KKR",16,181,13.92,13,29.15
D M Bravo,KKR,1,6,,,
J J Bumrah,MIN,120,57,8.14,145,23.31
A T Carey,DDV,3,32,16.00,,
L A  Carseldine,RRO,5,81,20.25,1,6.00
D L Chahar,"RPS, CSK",63,79,11.29,59,29.19
P V D Chameera,LSG,12,43,10.75,9,42.67
S Chanderpaul,RCB,3,25,8.33,,
A A  Chavan,RRO,13,12,6.00,8,40.75
B  Chipli,"RCB, DCH, DDV",23,280,18.67,,
A Chopra,KKR,7,53,8.83,,
A V Choudhary,RCB,5,25,25.00,5,28.80
D T Christian,"DCH, RCB, RPS, DDV",49,460,14.38,38,31.37
P D Collingwood,DDV,8,204,40.80,5,20.20
K  Cooper,RRO,25,116,12.89,33,22.94
N M Coulter-Nile,"MIN, DDV, KKR, RRO",39,82,7.45,48,22.92
S M Curran,"KXI, CSK",32,337,22.47,32,31.09
B C J Cutting,"RRO, SUN, MIN",21,238,21.64,10,42.90
M K P A Dananjaya,MIN,1,4,,,
H  Das,DCH,1,2,2.00,,
Y Dayal,GTI,9,,0.00,11,26.91
Q de Kock,"SUN, DDV, RCB, MIN, LSG",92,2764,32.14,,
P W H de Silva,RCB,18,39,4.88,26,18.85
A Deep,RCB,5,,0.00,5,41.00
T U Deshpande,"DDV, CSK",7,21,21.00,4,63.75
P Dharmani,KXI,1,,,,
S Dhawan,"DDV, MIN, DCH, SUN, KXI",206,6244,35.08,4,16.50
T M Dilshan,"DDV, RCB",52,1153,26.81,5,69.60
P  Dogra,"RRO, KXI, KKR",13,127,11.55,,
N D  Doshi,"RCB, RRO",4,,0.00,2,39.50
F du Plessis,"CSK, RPS, RCB",116,3403,34.37,,
S Dube,"RCB, RRO, CSK",35,688,24.57,4,41.50
J-P Duminy,"MIN, DCH, DDV",83,2029,39.78,23,36.26
E R Dwivedi,GUJ,4,24,12.00,,
N Ellis,KXI,5,18,9.00,4,36.25
F Y Fazal,RRO,12,183,18.30,,
C J Ferguson,PWI,9,98,16.33,,
C R D Fernando,MIN,10,4,,17,17.53
S P Fleming,CSK,10,196,21.78,,
J E C Franklin,MIN,20,327,29.73,9,24.22
R D Gaikwad,CSK,36,1207,37.72,,
C  Ganapathy,CSK,1,,,,
P K Garg,SUN,21,251,15.69,,
C M  Gautam,"DDV, MIN",13,169,16.90,,
C H Gayle,"KKR, RCB, KXI",142,4965,39.72,18,40.50
A N Ghosh,KKR,2,7,3.50,,
A C Gilchrist,"DCH, KXI",80,2069,27.22,1,0.00
K  Goel,KXI,22,218,14.53,,
M Gony,"CSK, DCH, KXI, GUJ",44,99,9.90,37,34.78
S P Goswami,"RCB, KKR, RRO, SUN",31,293,14.65,,
C J Green,KKR,1,,,,
Gurkeerat Singh,"KXI, RCB, GTI",41,511,21.29,5,19.40
B J Haddin,KKR,1,18,18.00,,
P S P Handscomb,RPS,2,6,6.00,,
Harmeet Singh,"DCH, KXI",27,18,4.50,26,26.81
Harpreet Brar,KXI,15,106,35.33,9,41.56
D J Harris,DCH,4,111,27.75,,
S M Harwood,RRO,3,9,,3,24.33
M L Hayden,CSK,32,1107,36.90,,
T M Head,RCB,10,205,29.29,2,40.50
B E Hendricks,KXI,7,1,1.00,9,26.11
M J Henry,KXI,2,,,1,71.00
B W Hilfenhaus,CSK,17,,,22,21.77
G B Hogg,"RRO, KKR",21,22,7.33,23,24.78
D J Hooda,"RRO, SUN, KXI, LSG",95,1236,20.26,10,50.10
D J Hussey,"KKR, KXI, CSK",64,1322,26.98,8,59.25
Imran Tahir,"DDV, RPS, CSK",59,33,8.25,82,20.77
C A Ingram,DDV,15,205,17.08,,
Ishan Kishan,"GUJ, MIN",75,1870,29.22,,
V R Iyer,KKR,22,552,27.60,3,38.33
D J  Jacobs,MIN,7,92,13.14,,
K M Jadhav,"DDV, KTK, RCB, CSK, SUN",93,1196,22.15,,
N Jagadeesan,CSK,7,73,24.33,,
Y B K Jaiswal,RRO,23,547,23.78,,
K A Jamieson,RCB,9,65,16.25,9,29.89
Jaskaran Singh,DCH,8,8,8.00,6,28.50
D P M D Jayawardene,"KXI, KTK, DDV",80,1802,28.60,,
Joginder Sharma,CSK,16,36,9.00,12,35.83
C J Jordan,"RCB, SUN, KXI, CSK",28,75,9.38,27,30.85
S B Joshi,RCB,4,6,3.00,1,82.00
M Kaif,"RRO, KXI, RCB",29,259,14.39,,
H K S R Kaluhalamulla,CSK,8,2,2.00,6,37.17
Kamran Akmal,RRO,6,128,25.60,,
C K Kapugedera,CSK,5,16,5.33,,
K D Karthik,"DDV, KXI, MIN, RCB, GUJ, KKR",229,4376,26.85,,
Kartik Tyagi,"RRO, SUN",16,13,3.25,14,40.71
S Kaul,"DDV, SUN, RCB",55,20,5.00,58,29.98
S  Kaushik,GUJ,10,,0.00,6,49.50
J M Kemp,CSK,5,26,13.00,3,18.00
S N Khan,"RCB, KXI, DDV",46,532,24.18,,
U T Khawaja,RPS,6,127,21.17,,
M  Khote,MIN,4,24,12.00,2,25.50
H Klaasen,"RRO, RCB",7,66,13.20,,
T S Kohli,"RRO, KXI",4,11,3.67,,
S C Kuggeleijn,CSK,2,,,2,35.50
Kuldeep Yadav,"KKR, DDV",59,105,15.00,61,27.13
B Kumar,"PWI, SUN",146,241,8.31,154,25.79
Kumar Kartikeya,MIN,4,3,3.00,5,20.40
S D Lad,MIN,1,15,15.00,,
Lalit Yadav,DDV,19,229,25.44,8,31.38
C K Langeveldt,"KKR, RCB",7,8,4.00,13,14.38
V V S Laxman,"DCH, KTK",20,282,15.67,,
D S Lehmann,RRO,2,18,9.00,,
E Lewis,"MIN, RRO, LSG",27,654,27.25,,
M K Lomror,"RRO, RCB",18,267,20.54,1,92.00
C A Lynn,"DCH, KKR, MIN",42,1329,34.08,,
N J Maddinson,RCB,3,20,6.67,,
V Y  Mahesh,"DDV, CSK",18,15,7.50,21,23.76
D J Malan,KXI,1,26,26.00,,
V S  Malik,"KXI, RRO",13,7,7.00,6,43.50
Mandeep Singh,"KKR, KXI, RCB, DDV",108,1692,21.42,,
P N Mankad,KXI,1,4,,,
M Markande,"MIN, RRO",20,27,9.00,17,30.00
M R Marsh,"DCH, PWI, RPS, SUN, DDV",29,477,22.71,24,21.75
D R Martyn,RRO,1,19,19.00,,
Mashrafe Mortaza,KKR,1,2,,,
G J Maxwell,"DDV, MIN, KXI, RCB",110,2319,25.48,28,38.57
O C McCoy,RRO,7,8,8.00,11,21.55
N L McCullum,PWI,2,26,26.00,,
G D McGrath,DDV,14,4,4.00,12,29.75
R McLaren,"MIN, KXI, KKR",18,159,19.88,12,45.17
B A W Mendis,"KKR, PWI",10,3,1.50,8,35.63
R P Meredith,"KXI, MIN",13,,,12,33.75
S Midhun,RRO,1,,,,
T S Mills,"RCB, MIN",10,8,2.00,11,31.18
Misbah-ul-Haq,RCB,8,117,16.71,,
M D  Mishra,"DCH, PWI",18,237,14.81,,
D J Mitchell,RRO,2,33,16.50,,
Mohammad Ashraful,MIN,1,2,2.00,,
Mohammad Hafeez,KKR,8,64,9.14,2,34.00
Mohammed Shami,"KKR, DDV, KXI, GTI",93,69,6.27,99,29.19
