Name,Role,Batting Style,Bowling Style,Nationality,DOB,IPL Debut
KM Asif,Bowler,Right-handed,Medium Seam,Indian,24-Jul-93,2018
Prasidh Krishna,Bowler,Right-handed,Medium Seam,Indian,19-Feb-96,2018
Trent Boult,Bowler,Right-handed,Left-arm Fast-medium,New Zealander,22-Jul-89,2015
Murugan Ashwin,Bowler,Right-handed,Leg-break,Indian,08-Sep-90,2016
Yuzvendra Chahal,Bowler,Right-handed,Right-arm Leg Spin,Indian,23-Jul-90,2013
Jason Holder,All-rounder,Right-handed,Right-arm Medium Fast,West Indian,05-Nov-91,2013
Akash Vashisht,All-Rounder,Left-handed,Left Arm Slow Orthodox,Indian,17-Dec-94,
Kunal Rathore,Wicketkeeper,Left-handed,,Indian,09-Oct-02,
Donovan Ferreira,Wicketkeeper,Right-handed,,South Africa,21-Jul-98,
Adam Zampa,Bowler,Right-handed,Legbreak Googly,Australian,31-Mar-92,2016
Abdul P A,All-Rounder,Right-handed,Right Arm Off Spin,Indian,09-Oct-98,
Joe Root,Batter,Right-handed,Right Arm Off Spin,England,30-Dec-90,
Faf du Plessis,Batter,Right-handed,Right-arm Leg Spin,South African,13-Jul-84,2012
Finn Allen,Wicketkeeper Batter,Right-handed,,New Zealander,22-Apr-99,
Rajat Patidar,Batter,Right-handed,,Indian,01-Jun-93,
Virat Kohli,Batter,Right-handed,Right-arm Medium,Indian,05-Nov-88,2008
Anuj Rawat,Wicketkeeper Batter,Left-handed,,Indian,17-Oct-99,
Dinesh Karthik,Wicketkeeper Batter,Right-handed,,Indian,01-Jun-85,2008
David Willey,Bowling Allrounder,Left-handed,Left-arm Fast-medium,English,28-Feb-90,
Glenn Maxwell,All-rounder,Right-handed,Right-arm Off-spin,Australian,14-Oct-88,2012
Harshal Patel,Bowler,Right-handed,Right-arm Medium,Indian,23-Nov-90,2012
Mahipal Lomror,All-rounder,Left-handed,Left-arm Spin,Indian,16-Nov-99,2018
Shahbaz Ahamad,Bowler,Left-handed,Slow Left Arm Orthodox,Indian,11-Dec-94,
Suyash S Prabhudessai,Batter,Right-handed,,Indian,06-Sep-97,
Wanindu Hasaranga,All-rounder,Right-handed,Right-arm Legbreak,Sri Lankan,29-Jul-97,
Akash Deep,Bowler,Right-handed,Right-arm Medium,Indian,15-Dec-96,
Josh Hazlewood,Bowler,Left-handed,Right-arm Fast-medium,Australian,08-Jan-91,2012
Karn Sharma,All-rounder,Left-handed,Right-arm Leg Spin,Indian,23-Oct-87,2013
Siddharth Kaul,Bowler,Right-handed,Right-arm Medium Fast,Indian,19-May-90,2013
Mohammed Siraj,Bowler,Right-handed,Medium Seam,Indian,13-Mar-94,2017
Reece Topley,Bowler,Right-handed,Left Arm Fast,England,21-Feb-94,
Himanshu Sharma,Bowler,Right-handed,Right Arm Leg Spin,Indian,06-Jun-98,
Will Jacks,Batter,Right-handed,Right Arm Off Spin,England,21-Nov-98,
Rajan Kumar,Bowler,Left-handed,Left Arm Fast,Indian,08-Jul-96,
Avinash Singh,Bowler,Right-handed,Right Arm Fast,Indian,05-Jul-98,
Sonu Yadav,All-Rounder,Right-handed,Right Arm Fast Medium,Indian,11-Nov-99,
Manoj Bhandage,All-Rounder,Left-handed,Right Arm Fast Medium,Indian,05-Oct-98,
Abdul Samad,Batter,Right-handed,Right-arm Legbreak,Indian,28-Oct-01,
Aiden Markram,Batter,Right-handed,Right-arm Offbreak,South African,04-Oct-94,
Rahul Tripathi,Batter,Right-handed,,Indian,02-Mar-91,2017
Glenn Phillips,Wicketkeeper Batter,Right-handed,Right-arm Offbreak,New Zealander,06-Dec-96,
Abhishek Sharma,All-rounder,Left-handed,Left-arm Orthodox,Indian,04-Sep-00,2018
Marco Jansen,All-rounder,Right-handed,Left-arm Fast Medium,South African,01-May-00,
Washington Sundar,All-rounder,Left-handed,Right Arm Offbreak,Indian,05-Oct-99,2017
Bhuvneshwar Kumar,Bowler,Right-handed,Right-arm Medium,Indian,05-Feb-90,2011
Fazalhaq Farooqi,Bowler,Right-handed,Left-arm Fast Medium,Afghan,22-Sep-00,
Kartik Tyagi,Bowler,Right-handed,Right-arm Fast-medium,Indian,08-Nov-00,
T Natarajan,Bowler,Left-handed,Left-arm Fast-medium,Indian,27-May-91,2017
Umran Malik,Bowler,Right-handed,Right-arm Fast,Indian,22-Nov-99,
Harry Brook,Batter,Right-handed,Right Arm Medium,England,22-Feb-99,
Mayank Agarwal,Batter,Right-handed,Right Arm Off Spin,Indian,18-Feb-91,2011
Akeal Hosein,Bowler,Left-handed,Left Arm Slow Orthodox,West Indies,25-Apr-93,
Heinrich Klaasen,Wicketkeeper Batter,Right-handed,,South African,30-Jul-91,
Anmolpreet Singh,Batter,Right-handed,Right-arm Offbreak,Indian,28-Mar-98,
Adil Rashid,Bowler,Right-handed,Right Arm Leg Spin,English,17-Feb-88,
Mayank Markande,Bowler,Right-handed,Leg Spin,Indian,11-Nov-97,
Vivrant Sharma,All-Rounder,Left-handed,Right Arm Leg Spin,Indian,30-Oct-99,
Mayank Dagar,All-rounder,Right-handed,,Indian,11-Nov-96,
Samarth Vyas,All-Rounder,Right-handed,Right Arm Leg Spin,Indian,28-Nov-95,
Sanvir Singh,All-Rounder,Right-handed,Right Arm Fast,Indian,12-Oct-96,
Upendra Singh Yadav,Wicketkeeper,Right-handed,,Indian,08-Oct-96,
Nitish Kumar Reddy,Wicketkeeper,Right-handed,Right Arm Fast Medium,Indian,26-May-03,
